id,title,revenue,vote_count,vote_average,runtime,popularity
36970,Oceans,19406406,216,7.2,84.0,11.693
430231,The Endless,956425,544,6.3,112.0,12.754
473812,Jerry Before Seinfeld,0,77,6.9,62.0,8.019
529166,"The Best of Rafał Rutkowski, Olka Szczęśniak",0,0,0.0,63.0,0.6
345918,Come and Find Me,0,169,5.6,112.0,15.439
399896,Class Rank,0,31,7.1,101.0,7.5
476631,Barbie: Dolphin Magic,0,110,6.7,63.0,16.865
360341,Keith Richards: Under the Influence,0,43,6.7,82.0,8.745
609064,A Haunting at Silver Falls: The Return,0,5,6.0,79.0,6.329
534490,Avengement,0,227,6.7,90.0,37.427
453205,Clive Davis: The Soundtrack of Our Lives,0,8,6.5,123.0,7.919
41378,Five Element Ninjas,0,32,6.9,107.0,7.269
102517,Sebastian Maniscalco: What's Wrong with People?,0,15,8.0,75.0,4.251
310131,The Witch,40423945,4191,6.8,92.0,44.351
332411,I Am Wrath,0,433,5.4,92.0,21.931
256274,"As Above, So Below",40100000,2084,6.6,93.0,32.261
22538,Scott Pilgrim vs. the World,47664559,5148,7.4,112.0,25.094
410199,ARQ,0,753,6.1,88.0,17.42
416290,Cedric the Entertainer: Live from the Ville,0,12,5.8,60.0,2.974
45523,Louis C.K.: Hilarious,0,167,7.9,84.0,7.369
329697,Raiders!: The Story of the Greatest Fan Film Ever Made,0,42,7.0,93.0,7.07
416211,The White Helmets,0,138,7.5,40.0,9.421
630750,Los Tigres del Norte at Folsom Prison,0,5,6.0,64.0,6.967
80523,Steal a Pencil for Me,0,5,7.2,94.0,2.462
199928,The Outsider,0,353,6.1,120.0,12.821
286239,The Gathering 2,0,5,6.6,119.0,1.651
462445,Cardboard Gangsters,0,15,6.5,92.0,2.495
496321,Eeda,126500,9,7.1,152.0,1.563
446156,Galih & Ratna,0,6,6.8,112.0,1.182
39061,Gie,0,10,6.1,140.0,3.947
507574,Goli Soda 2,0,3,4.8,130.0,1.4
15646,Jugaad,0,3,5.3,114.0,0.751
564862,Maj Rati Keteki,0,2,7.0,116.0,0.915
500787,Mayurakshi,0,2,6.8,102.0,0.679
507860,Red Oleanders Raktokarobi,0,1,8.0,114.0,0.6
549450,Samantaral,0,3,8.3,114.0,1.566
207703,Kingsman: The Secret Service,414351546,12361,7.6,129.0,89.838
433247,First They Killed My Father,0,428,7.4,136.0,11.961
199327,Gagarin: First in Space,0,69,6.5,108.0,9.482
416238,Janaan,3000000,5,6.6,133.0,1.906
445962,Larceny,0,39,4.0,87.0,18.689
659444,WWE Royal Rumble 2020,0,29,8.3,251.0,12.755
428612,Strong Island,0,68,6.5,107.0,10.701
383524,Natural Born Pranksters,0,36,4.7,90.0,6.064
